MDSS01.LC03PRMA.CG02042,Electrical Imbalance,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02043,Rotor Bars CrackedLoose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02044,Motor DE Bearing WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02045,Motor ODE Bearing WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02046,Stator Laminations WornLoose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02047,Stator Windings openshorted,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02049,Foundation WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CGLO001,Heating Elements Failed to Heat,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CGLO009,LOWP Worn Internals,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CGLO033,ST Heating Elements Failed to Heat,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01001,L Turbocharger WornDirty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01002,R Turbocharger WornDirty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01003,L Intercooler SW Side Fouled,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01004,R Intercooler SW Side Fouled,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01005,L Intercooler Air Path Blocked,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01006,R Intercooler Air Path Blocked,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01007,L1 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01008,L2 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01009,L3 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01010,L4 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01011,R1 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01012,R2 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01013,R3 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01014,R4 Fuel Injection Pump PlungerBarrel Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01015,L1 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01016,L2 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01017,L3 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01018,L4 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01019,R1 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01020,R2 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01021,R3 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01022,R4 LinerRing WornScored,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01031,L1 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01032,L2 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01033,L3 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01034,L4 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01035,R1 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01036,R2 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01037,R3 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01038,R4 Exhaust Valve Stems  Seats BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01039,L1 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01040,L2 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01041,L3 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01042,L4 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01043,R1 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01044,R2 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01045,R3 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01046,R4 Intake Valve Stems  Seats Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01047,L1 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01048,L2 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01049,L3 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01050,L4 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01051,R1 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01052,R2 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01053,R3 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01054,R4 Fuel Injector Nozzle BurntWorn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01055,L Side Improper Timing,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01056,R Side Improper Timing,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01057,JW Cooler FouledClogged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01058,DE Bearing Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01059,NDE Bearing Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01060,Stator Winding Electrical Failure,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01061,Generator Overheating,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01062,JW Pump Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01063,SW Pump Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01064,FO Pump Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01065,Generator Air Cooler Fouled,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01066,Main Bearing 1 Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01067,Main Bearing 2 Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01068,Main Bearing 3 Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.DG01069,Main Bearing 4 Worn,,,,,Shipboard BBNs
